TransactionID,Items
39,"['Cheese', 'Coffee', 'Juice']"
40,"['Apples', 'Sugar', 'Bread', 'Bananas', 'Coffee']"
41,"['Juice', 'Milk']"
42,"['Bananas', 'Eggs', 'Milk']"
43,"['Milk', 'Eggs']"
44,"['Milk', 'Juice']"
45,"['Apples', 'Eggs']"
46,"['Sugar', 'Eggs', 'Butter', 'Juice']"
47,"['Eggs', 'Sugar', 'Coffee', 'Bread', 'Milk']"
48,"['Coffee', 'Juice']"
49,"['Coffee', 'Sugar', 'Milk', 'Juice', 'Bananas']"
50,"['Milk', 'Coffee']"
51,"['Bread', 'Eggs', 'Apples', 'Bananas']"
52,"['Butter', 'Coffee', 'Bananas', 'Sugar', 'Eggs']"
53,"['Bread', 'Sugar', 'Bananas']"
54,"['Apples', 'Milk']"
55,"['Eggs', 'Butter']"
56,"['Sugar', 'Bananas', 'Eggs', 'Coffee', 'Apples']"
57,"['Butter', 'Coffee']"
58,"['Coffee', 'Cheese']"
59,"['Cheese', 'Coffee', 'Sugar', 'Bread', 'Apples']"
60,"['Eggs', 'Milk', 'Apples', 'Juice']"
61,"['Milk', 'Bananas', 'Sugar', 'Cheese']"
62,"['Milk', 'Apples', 'Bread']"
63,"['Bread', 'Bananas', 'Eggs']"
64,"['Bread', 'Eggs', 'Milk', 'Cheese', 'Sugar']"
65,"['Bananas', 'Apples', 'Juice', 'Butter', 'Bread']"
66,"['Eggs', 'Cheese', 'Coffee', 'Bread']"
67,"['Sugar', 'Juice', 'Bread', 'Milk']"
68,"['Bananas', 'Bread', 'Apples', 'Cheese', 'Sugar']"
69,"['Butter', 'Juice', 'Bread', 'Sugar']"
70,"['Cheese', 'Butter', 'Sugar', 'Coffee']"
71,"['Bananas', 'Apples', 'Milk', 'Juice']"
72,"['Bread', 'Butter', 'Cheese', 'Milk']"
73,"['Apples', 'Butter']"
74,"['Cheese', 'Eggs', 'Juice', 'Bread']"
75,"['Apples', 'Sugar', 'Cheese', 'Coffee']"
76,"['Bread', 'Coffee']"
77,"['Milk', 'Bananas', 'Juice', 'Coffee']"
78,"['Cheese', 'Butter', 'Sugar']"
79,"['Apples', 'Milk', 'Bread', 'Bananas', 'Juice']"
80,"['Apples', 'Milk', 'Juice']"
81,"['Coffee', 'Butter', 'Milk']"
82,"['Juice', 'Milk', 'Bananas', 'Bread']"
83,"['Bread', 'Juice', 'Coffee']"
84,"['Eggs', 'Butter', 'Apples']"
85,"['Milk', 'Butter', 'Juice', 'Coffee', 'Eggs']"
86,"['Cheese', 'Butter', 'Bread']"
87,"['Milk', 'Sugar', 'Eggs', 'Bread', 'Apples']"
88,"['Cheese', 'Eggs', 'Apples', 'Milk']"
89,"['Coffee', 'Juice', 'Cheese']"
90,"['Cheese', 'Juice']"
91,"['Apples', 'Juice', 'Milk', 'Sugar', 'Butter']"
92,"['Bananas', 'Cheese', 'Milk']"
93,"['Bananas', 'Coffee']"
94,"['Juice', 'Coffee', 'Bread', 'Eggs']"
95,"['Cheese', 'Milk', 'Coffee']"
96,"['Apples', 'Bananas']"
97,"['Juice', 'Coffee', 'Bread']"
98,"['Bananas', 'Juice', 'Bread', 'Apples']"
99,"['Apples', 'Cheese', 'Coffee', 'Butter']"
100,"['Cheese', 'Apples', 'Butter', 'Bread', 'Eggs']"
101,"['Butter', 'Cheese', 'Coffee', 'Apples', 'Milk']"
102,"['Cheese', 'Eggs', 'Coffee', 'Sugar']"
103,"['Sugar', 'Bananas', 'Apples', 'Juice']"
104,"['Apples', 'Sugar', 'Butter']"
105,"['Cheese', 'Apples']"
106,"['Bread', 'Eggs', 'Cheese', 'Bananas']"
107,"['Butter', 'Milk', 'Apples']"
108,"['Sugar', 'Bread', 'Bananas']"
109,"['Bananas', 'Eggs', 'Coffee', 'Apples', 'Sugar']"
110,"['Butter', 'Milk', 'Bread']"
111,"['Eggs', 'Butter', 'Sugar', 'Milk', 'Cheese']"
112,"['Bread', 'Sugar', 'Butter']"
113,"['Apples', 'Bananas', 'Juice', 'Coffee', 'Eggs']"
114,"['Apples', 'Sugar', 'Butter', 'Juice', 'Eggs']"
115,"['Cheese', 'Eggs', 'Bananas', 'Coffee', 'Sugar']"
116,"['Eggs', 'Cheese', 'Sugar', 'Milk', 'Juice']"
117,"['Eggs', 'Cheese', 'Juice', 'Butter']"
118,"['Butter', 'Bananas']"
119,"['Coffee', 'Butter', 'Eggs']"
120,"['Coffee', 'Bananas']"
121,"['Apples', 'Sugar', 'Coffee', 'Milk']"
122,"['Coffee', 'Bananas', 'Milk']"
123,"['Sugar', 'Milk', 'Juice', 'Butter', 'Eggs']"
124,"['Apples', 'Bananas', 'Eggs', 'Sugar', 'Bread']"
125,"['Coffee', 'Sugar', 'Milk', 'Eggs']"
126,"['Coffee', 'Butter', 'Sugar', 'Bread']"
127,"['Coffee', 'Milk']"
128,"['Coffee', 'Butter']"
129,"['Butter', 'Milk', 'Cheese', 'Eggs', 'Bananas']"
130,"['Sugar', 'Juice', 'Apples']"
131,"['Cheese', 'Coffee', 'Bananas', 'Apples', 'Milk']"
132,"['Milk', 'Apples', 'Bananas', 'Butter', 'Bread']"
133,"['Milk', 'Bananas']"
134,"['Eggs', 'Milk', 'Butter']"
135,"['Butter', 'Sugar', 'Bread']"
136,"['Sugar', 'Cheese', 'Juice']"
137,"['Bananas', 'Bread', 'Butter']"
138,"['Bread', 'Milk', 'Cheese', 'Sugar']"
139,"['Coffee', 'Eggs', 'Bread', 'Cheese', 'Juice']"
140,"['Bread', 'Cheese', 'Bananas']"
141,"['Juice', 'Apples']"
142,"['Juice', 'Bread', 'Bananas', 'Milk', 'Eggs']"
143,"['Bread', 'Coffee', 'Juice', 'Sugar', 'Eggs']"
144,"['Coffee', 'Butter', 'Cheese']"
145,"['Sugar', 'Coffee', 'Cheese', 'Butter', 'Bread']"
146,"['Cheese', 'Sugar']"
147,"['Sugar', 'Coffee', 'Juice']"
148,"['Sugar', 'Juice']"
149,"['Sugar', 'Eggs', 'Juice']"
150,"['Juice', 'Cheese', 'Apples', 'Sugar']"
151,"['Apples', 'Eggs']"
152,"['Eggs', 'Coffee']"
153,"['Apples', 'Eggs', 'Sugar', 'Juice', 'Coffee']"
154,"['Sugar', 'Milk', 'Bread', 'Butter', 'Bananas']"
155,"['Eggs', 'Cheese', 'Juice', 'Bananas', 'Apples']"
156,"['Coffee', 'Apples', 'Juice', 'Butter']"
157,"['Cheese', 'Bananas', 'Apples', 'Bread', 'Milk']"
158,"['Juice', 'Bread', 'Butter']"
159,"['Eggs', 'Sugar', 'Cheese']"
160,"['Bread', 'Eggs', 'Cheese', 'Bananas']"
161,"['Butter', 'Cheese', 'Milk', 'Juice']"
162,"['Cheese', 'Milk', 'Apples']"
163,"['Butter', 'Sugar', 'Bread', 'Coffee']"
164,"['Bananas', 'Cheese']"
165,"['Sugar', 'Bananas', 'Juice', 'Bread', 'Milk']"
166,"['Sugar', 'Bread', 'Apples', 'Eggs']"
167,"['Bread', 'Milk', 'Butter', 'Bananas', 'Cheese']"
168,"['Bread', 'Eggs', 'Bananas', 'Cheese']"
169,"['Bananas', 'Eggs', 'Coffee', 'Apples', 'Sugar']"
170,"['Bananas', 'Coffee', 'Cheese', 'Sugar']"
171,"['Bananas', 'Bread']"
172,"['Eggs', 'Cheese', 'Bread']"
173,"['Eggs', 'Butter', 'Bread']"
174,"['Milk', 'Coffee', 'Sugar']"
175,"['Cheese', 'Milk', 'Eggs', 'Butter', 'Juice']"
176,"['Sugar', 'Bread', 'Eggs', 'Butter']"
177,"['Coffee', 'Bread', 'Eggs']"
178,"['Cheese', 'Butter', 'Bread']"
179,"['Butter', 'Cheese']"
180,"['Sugar', 'Bread', 'Bananas', 'Juice']"
181,"['Coffee', 'Cheese', 'Sugar', 'Eggs']"
182,"['Bananas', 'Milk']"
183,"['Juice', 'Cheese', 'Milk', 'Sugar', 'Bread']"
184,"['Cheese', 'Milk']"
185,"['Sugar', 'Apples', 'Bananas']"
186,"['Butter', 'Coffee', 'Sugar', 'Milk']"
187,"['Juice', 'Coffee', 'Bananas', 'Butter', 'Sugar']"
188,"['Butter', 'Juice']"
189,"['Sugar', 'Cheese', 'Coffee', 'Bananas', 'Apples']"
190,"['Sugar', 'Bread']"
191,"['Cheese', 'Juice', 'Bread', 'Coffee']"
192,"['Apples', 'Milk', 'Sugar', 'Eggs', 'Bananas']"
193,"['Apples', 'Juice', 'Sugar']"
194,"['Milk', 'Eggs', 'Cheese', 'Sugar', 'Bread']"
195,"['Sugar', 'Bananas', 'Bread', 'Milk']"
196,"['Butter', 'Cheese', 'Milk']"
197,"['Bread', 'Eggs', 'Bananas', 'Apples', 'Milk']"
198,"['Sugar', 'Cheese', 'Apples']"
199,"['Sugar', 'Bananas', 'Eggs', 'Apples', 'Cheese']"
200,"['Coffee', 'Eggs', 'Butter']"
